ID,name,price,category,availability,discount,ratings,breadcrumbs,location,lat,long,guests,pets_allowed,house_rules,details,is_supperhost,host_number_of_reviews,host_rating,hosts_year,host_response_rate,is_guest_favorite
36,Villa in Kecamatan Mengwi ,null,Stays,TRUE,null,4.89,"Kecamatan Mengwi, Bali, Indonesia","Kecamatan Mengwi, Bali, Indonesia",-8.63884,115.10199,2,FALSE,"[""Check-in after 1:00 PM"",""Checkout before 12:00 PM"",""2 guests maximum""]","[""1 bed"",""Private attached bathroom""]",FALSE,93,4.8,10,82,TRUE
37,Home in Kecamatan Mengwi ,null,Stays,TRUE,null,4.67,"Kecamatan Mengwi, Bali, Indonesia","Kecamatan Mengwi, Bali, Indonesia",-8.6449,115.13648,4,TRUE,"[""Check-in after 3:00 PM"",""Checkout before 11:00 AM"",""4 guests maximum""]","[""4 guests"",""2 bedrooms"",""2 beds"",""2 baths""]",FALSE,14,4.93,4,100,FALSE
38,Home in レギャン ,null,Stays,TRUE,null,4.71,"Kecamatan Mengwi, Bali, Indonesia","Kecamatan Mengwi, Bali, Indonesia",-8.70389,115.17785,2,FALSE,"[""Flexible check-in"",""Checkout before 12:00 PM"",""2 guests maximum""]","[""1 king bed"",""Private attached bathroom""]",FALSE,15,4.73,7,100,FALSE
39,Villa in Kuta ,null,Stays,TRUE,null,4.94,"Kuta, Bali, Indonesia","Kuta, Bali, Indonesia",-8.6991,115.1718,8,TRUE,"[""Check-in after 3:00 PM"",""Checkout before 11:00 AM"",""8 guests maximum""]","[""8 guests"",""3 bedrooms"",""3 beds"",""3.5 baths""]",TRUE,1045,4.89,8,100,TRUE
40,Villa in Seminyak ,null,Stays,TRUE,null,4.85,"Seminyak, Bali, Indonesia","Seminyak, Bali, Indonesia",-8.6784,115.1549,5,TRUE,"[""Check-in after 2:00 PM"",""Checkout before 12:00 PM"",""5 guests maximum""]","[""5 guests"",""2 bedrooms"",""2 beds"",""2 baths""]",TRUE,2788,4.82,10,100,FALSE
41,Villa in Mengwi ,null,Stays,TRUE,null,3,"Mengwi, Bali, Indonesia","Mengwi, Bali, Indonesia",-8.6386,115.1301,3,FALSE,"[""Check-in after 2:00 pm"",""Checkout before 11:00 am"",""3 guests maximum""]","[""3 guests"",""Studio"",""1.5 bathrooms""]",FALSE,76,4.63,2,100,FALSE
42,Villa in Kecamatan Kuta Utara ,null,Stays,TRUE,null,4.86,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.6811,115.16323,6,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 12:00 PM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""4 baths""]",TRUE,63,4.86,2,100,FALSE
43,Hotel in North Kuta ,null,Stays,TRUE,null,4.7,"North Kuta, Bali, Indonesia","North Kuta, Bali, Indonesia",-8.6625,115.1399,2,,"[""Check-in after 2:00 PM"",""Checkout before 12:00 PM"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""2 beds"",""1 shared bath""]",TRUE,277,4.81,10,100,FALSE
44,Villa in Canggu ,null,Stays,TRUE,null,5,"Canggu, Bali, Indonesia","Canggu, Bali, Indonesia",-8.64577,115.13335,6,FALSE,"[""Check-in: 3:00 PM - 6:00 PM"",""Checkout before 11:00 AM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""3 baths""]",TRUE,972,4.84,3,100,FALSE
45,Villa in Canggu ,null,Stays,TRUE,null,5,"Canggu, Bali, Indonesia","Canggu, Bali, Indonesia",-8.6537,115.1491,2,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 12:00 PM"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1.5 baths""]",TRUE,12834,4.82,13,100,TRUE
46,Villa in Kuta ,null,Stays,TRUE,null,4.78,"Kuta, Bali, Indonesia","Kuta, Bali, Indonesia",-8.6855,115.1674,6,TRUE,"[""Check-in after 2:00 PM"",""Checkout before 12:00 PM"",""6 guests maximum""]","[""6 guests"",""2 bedrooms"",""2 beds"",""2.5 baths""]",TRUE,767,4.79,8,100,FALSE
47,Villa in Canggu - Badung ,null,Stays,TRUE,null,4.76,"Canggu - Badung, Bali, Indonesia","Canggu - Badung, Bali, Indonesia",-8.645,115.1371,2,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 12:00 PM"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1 private bath""]",TRUE,205,4.8,2,98,FALSE
48,Villa in Kuta ,null,Stays,TRUE,null,5,"Kuta, Bali, Indonesia","Kuta, Bali, Indonesia",-8.70438,115.17801,2,FALSE,"[""Check-in after 3:00 pm"",""Checkout before 12:00 pm"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1 bathroom""]",FALSE,863,4.53,4,98,FALSE
49,Home in Kecamatan Kuta Utara ,null,Stays,TRUE,null,5,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.6534,115.1597,6,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 12:00 PM"",""6 guests maximum""]","[""6 guests"",""4 bedrooms"",""6 beds"",""4.5 baths""]",FALSE,4,5,10,89,FALSE
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
